date,open,high,low,close,volume,position,s,settlement,log_price,log_return
2016-02-26,1233.0,1241.3,1212.0,1222.8,0,0,0,0,7.108898590016679,-0.008874473060739518
2016-02-29,1223.3,1241.8,1216.3,1239.3,0,0,0,0,7.1223019830708285,0.013403393054149504
2016-03-01,1238.9,1249.3,1227.7,1232.7,0,0,0,0,7.116962164557473,-0.005339818513355077
2016-03-02,1232.1,1244.8,1225.1,1240.5,0,0,0,0,7.123269803131856,0.006307638574382324
2016-03-03,1240.7,1269.3,1238.0,1264.9,0,0,0,0,7.142748346653496,0.019478543521640468
2016-03-04,1264.3,1280.7,1250.1,1260.1,0,0,0,0,7.1389463618756475,-0.003801984777848766
2016-03-07,1260.5,1274.1,1257.4,1268.0,0,0,0,0,7.145196134997171,0.0062497731215236385
2016-03-08,1266.6,1279.0,1261.0,1262.0,0,0,0,0,7.140453043101158,-0.004743091896012963
2016-03-09,1262.2,1265.7,1243.6,1253.9,0,0,0,0,7.134013973196493,-0.006439069904665473
2016-03-10,1253.1,1274.3,1237.5,1273.1,0,0,0,0,7.149210150067599,0.015196176871106637
2016-03-11,1271.9,1287.8,1249.0,1251.1,0,0,0,0,7.131778443323355,-0.017431706744244657
2016-03-14,1251.0,1261.9,1229.9,1236.0,0,0,0,0,7.119635638017636,-0.012142805305718873
2016-03-15,1236.8,1238.7,1226.0,1232.8,0,0,0,0,7.117043284005906,-0.0025923540117300803
2016-03-16,1233.1,1264.8,1227.0,1263.1,0,0,0,0,7.141324295779929,0.024281011774023753
2016-03-17,1262.0,1271.9,1255.2,1258.6,0,0,0,0,7.137755271092833,-0.0035690246870965225
2016-03-18,1257.7,1267.7,1248.4,1256.0,0,0,0,0,7.135687347028144,-0.0020679240646890307
2016-03-21,1255.0,1256.7,1241.2,1244.1,0,0,0,0,7.126167655920446,-0.009519691107698236
2016-03-22,1244.7,1260.9,1242.8,1248.8,0,0,0,0,7.129938369201223,0.0037707132807769383
2016-03-23,1248.5,1249.8,1215.4,1220.1,0,0,0,0,7.106688101581288,-0.023250267619934206
2016-03-24,1220.7,1224.2,1211.2,1216.7,0,0,0,0,7.103897554793403,-0.002790546787885262
2016-03-25,1216.7,1216.7,1216.7,1216.7,0,0,0,0,7.103897554793403,0.0
2016-03-28,1216.0,1223.2,1206.0,1221.8,0,0,0,0,7.108080460215667,0.0041829054222635165
